Temperatura_C,PresionVapor_kPa
-26.324,1.916726
-25.405,4.529931
-24.455,2.183048
-23.214,2.344113
-22.759,2.457308
-22.037,2.579202
-21.249,2.648468
-20.162,2.887266
-19.435,2.989381
-18.903,3.127771
-17.384,3.451739
-16.903,3.458571
-16.097,3.636924
-15.228,3.928713
-14.256,4.218071
-13.589,4.327538
-13.141,4.398577
-12.385,4.613848
-11.435,4.965014
-10.665,5.14041
-9.801,5.40923
-8.785,5.823199
-8.387,5.886382
-7.554,6.120984
-6.931,6.286895
-5.61,6.976164
-4.885,6.969887
-4.283,7.351399
-2.639,8.036321
-2.287,8.206779
-1.545,8.692022
-0.804,8.979732
0.367,9.482522
0.928,9.598518
1.771,10.243941
2.279,10.367571
3.431,11.31207
4.314,11.623123
4.878,11.967709
5.936,12.574627
6.773,13.179784
7.751,13.788747
7.927,14.242133
9.267,14.91611
9.824,15.095376
10.445,15.813008
11.757,16.678105
12.495,
13.653,18.429619
14.081,19.027171
15.233,20.153354
15.938,19.688892
16.691,21.385676
17.419,21.769377
18.168,23.113287
18.921,22.985555
19.632,24.184345
20.473,25.480726
21.238,25.829362
22.261,27.072835
23.105,27.673463
24.039,29.374805
24.936,30.135405
25.922,30.849635
26.27,32.385876
27.089,33.399988
27.737,34.25868
29.002,36.292434
29.692,37.302983
30.774,39.112579
31.361,40.321083
32.003,41.339084
32.773,42.407326
33.877,43.682111
34.479,45.216137
35.278,47.396645
36.444,49.070771
36.787,50.891044
37.864,51.3009
38.868,53.317063
39.229,55.45203
40.306,59.207043
40.746,57.451091
41.738,
42.703,61.96669
43.055,63.442933
44.156,66.37456
45.181,68.56042
45.859,67.283727
46.593,71.058494
47.759,
48.476,76.77342
49.435,79.600315
50.058,80.139767
50.531,80.900193
51.464,82.687231
52.266,90.557567
53.201,92.825461
54.013,87.971328
55.129,98.639571
56.176,
56.85,106.521386
57.354,100.665561
58.2,109.790996
58.882,113.444895
59.645,113.491829
60.837,120.580164
61.478,119.490071
62.553,129.180338
63.159,126.689997
64.22,132.439935
64.601,133.477643
65.623,
66.147,138.877087
67.164,150.38062
67.851,360.071604
68.778,
69.36,158.102315
70.283,150.207878
71.299,156.069415
72.18,177.445941
72.873,163.24343
73.447,63.056741
75.007,186.184766
75.53,194.159923
76.355,193.298132
77.012,202.54818
