Temperatura_C,PresionVapor_kPa
-26.943,0.688548
-26.556,0.709741
-25.626,0.756787
-24.506,0.816153
-24.435,0.805707
-23.362,0.861036
-22.278,0.933052
-21.96,0.964552
-21.177,1.019033
-20.315,1.065306
-19.253,1.163224
-18.935,1.168488
-18.151,1.230149
-17.404,1.286508
-16.131,1.397795
-15.39,1.47226
-14.882,1.518485
-14.261,1.551431
-13.446,1.672868
-12.55,1.717434
-12.291,1.766641
-11.123,1.887259
-10.865,1.900513
-9.997,2.021958
-8.943,2.135502
-8.665,2.189756
-7.662,2.329484
-7.062,2.439797
-6.196,2.531941
-5.96,2.54046
-5.009,2.68793
-4.05,2.854153
-2.98,3.028713
-2.455,3.166172
-1.675,3.303626
-0.793,3.399854
-0.362,
0.615,3.577698
1.142,3.768229
1.703,3.864015
2.715,4.108348
3.653,4.355626
4.35,11.971638
5.025,4.658309
6.251,4.978598
6.6,5.049468
7.458,5.297996
8.455,5.341978
8.493,5.554014
9.289,5.793968
10.59,6.168096
10.827,6.251076
11.737,6.617023
12.69,
13.399,7.320053
14.316,
15.009,7.699247
15.669,7.927436
16.045,8.085034
17.104,8.410322
17.753,8.770074
18.169,8.990212
19.463,9.594438
20.086,9.878349
20.678,10.03434
21.367,10.191352
21.919,10.565714
22.943,11.440467
23.742,11.745596
24.227,11.915672
25.37,12.335167
25.663,12.642863
26.203,12.70404
27.58,13.648672
28.037,13.992105
28.837,14.464494
29.439,15.163048
30.031,14.9737
31.348,15.989048
31.704,16.094829
32.918,
33.492,17.81097
34.013,17.667085
34.604,18.869941
35.419,19.188131
36.068,19.824464
37.473,21.108623
37.833,21.12649
38.775,22.564249
39.036,22.288937
40.071,23.597263
41.015,24.139578
41.457,24.810239
42.475,25.835901
42.797,26.15331
43.486,26.202188
44.579,28.172455
45.172,28.375826
46.122,30.053097
46.342,28.490169
47.625,30.380348
48.747,33.069287
48.967,34.498235
49.724,34.703555
50.498,34.470431
50.835,34.040518
52.037,37.807306
52.375,37.519215
53.356,39.574649
54.435,40.689517
54.784,41.121936
55.776,46.004652
56.623,43.927261
57.221,44.694382
57.636,45.413298
58.589,46.359299
59.74,50.561031
59.792,48.698326
60.834,52.045202
61.524,52.771158
62.403,56.015536
63.274,56.352843
64.191,55.103643
64.56,55.569492
65.521,62.943316
66.203,
66.943,60.126494
67.48,62.676299
68.138,22.074323
68.863,63.744582
69.676,66.8628
70.637,69.52081
71.469,69.738722
72.127,71.400995
72.697,71.665585
73.913,77.906112
74.6,79.99727
74.971,79.796007
75.622,77.90374
76.557,91.300161
77.529,83.801071
78.087,91.95364
78.877,88.367911
79.468,97.847921
80.346,102.00878
81.309,96.014397
