Temperatura_C,PresionVapor_kPa
24.057,1.957209
24.513,2.017475
25.512,2.139151
26.77,2.29871
26.772,2.258327
27.983,2.405885
29.136,2.58931
29.523,2.678978
30.375,2.819409
31.305,2.933278
32.436,3.182974
32.824,3.198718
33.677,3.354828
34.492,3.496425
35.834,3.767592
36.644,3.955752
37.222,4.075442
37.912,4.153659
38.796,4.46356
39.76,4.558937
40.089,4.696301
41.325,4.981609
41.653,5.021554
42.59,5.321006
43.712,5.586136
44.059,5.73493
45.131,6.068995
45.8,6.346744
46.735,6.557624
47.04,6.586698
48.059,6.936381
49.088,7.331355
50.227,7.735752
50.82,8.081569
51.67,8.405501
52.62,8.610837
53.121,
54.167,9.008378
54.763,9.4851
55.392,9.711615
56.474,10.27754
57.48,10.852862
58.247,29.756691
58.991,11.552609
60.285,12.269463
60.703,12.446906
61.63,13.015577
62.696,13.042801
62.803,13.616666
63.668,14.163459
65.038,14.975248
65.344,15.195718
66.323,16.032249
67.345,
68.123,17.638277
69.11,
69.872,18.422818
70.6,18.931609
71.045,19.312413
72.173,19.986356
72.89,20.815328
73.376,21.340181
74.739,22.63844
75.43,23.273025
76.092,23.596623
76.85,23.900228
77.471,24.765335
78.564,26.744776
79.432,27.37272
79.985,27.743807
81.198,28.557039
81.56,29.306724
82.168,29.393675
83.615,31.396944
84.14,32.18336
85.009,33.182094
85.681,34.776158
86.341,34.235218
87.727,36.363496
88.152,36.598589
89.436,
90.079,40.306097
90.668,39.89165
91.328,42.646419
92.212,43.219708
92.93,44.599296
94.404,47.214271
94.833,47.235102
95.844,50.355
96.174,49.728717
97.278,52.490892
98.291,53.48985
98.802,54.989626
99.889,57.060164
100.28,57.788138
101.038,57.733158
102.2,61.916949
102.862,62.253167
103.88,65.792133
104.17,62.259158
105.522,66.116614
106.713,71.816141
107.002,75.10262
107.828,75.334128
108.67,74.568299
109.076,73.587215
110.347,81.582445
110.755,80.927161
111.804,85.155706
112.952,87.204042
113.37,88.151819
114.431,98.573721
115.347,93.660785
116.014,95.18974
116.498,96.721931
117.52,98.417557
118.792,107.258232
118.809,103.042441
119.972,110.043665
120.731,111.387051
121.679,118.049675
122.619,118.409049
123.604,115.334241
124.043,116.319725
125.073,131.694646
125.824,
126.633,125.168721
127.239,130.468146
127.966,45.961498
128.759,132.26223
129.642,138.531799
130.671,143.691625
131.573,143.807472
132.299,147.077585
132.938,147.485764
134.223,159.843429
134.98,163.937958
135.419,163.533118
136.139,159.412787
137.143,186.59914
138.184,170.704459
138.811,187.275646
139.67,179.61858
140.33,198.797579
141.277,206.819881
142.309,194.180211
