Temperatura_C,PresionVapor_kPa
6.057,4.883155
6.375,4.989379
7.236,5.234075
8.218,5.519537
8.358,5.456647
9.294,5.704466
10.308,6.076489
10.558,6.239438
11.271,6.504513
12.064,6.695067
13.057,7.200232
13.307,7.168452
14.022,7.44851
14.699,7.689851
15.903,8.200795
16.575,8.536796
17.015,8.721313
17.567,8.799439
18.313,9.391836
19.14,9.480498
19.33,9.704214
20.428,10.190178
20.618,10.187429
21.417,10.710563
22.402,11.132537
22.611,11.355836
23.544,11.914554
24.076,12.376046
24.873,12.661996
25.04,12.614536
25.922,13.174094
26.812,13.815309
27.813,14.450508
28.269,15.011171
28.98,15.488585
29.793,15.701332
30.155,
31.064,16.122439
31.522,16.905029
32.013,17.17229
32.956,18.044295
33.825,18.927837
34.454,51.50032
35.06,19.843273
36.216,20.911329
36.496,21.063214
37.285,21.875335
38.183,21.588859
38.213,22.588571
38.909,23.305123
40.142,24.435865
40.309,24.6495
41.151,25.865987
42.035,
42.675,28.145742
43.523,
44.147,28.874847
44.738,29.466368
45.045,29.883924
46.035,30.654462
46.615,31.779355
46.962,32.410762
48.187,34.160098
48.741,34.899836
49.264,35.099501
49.884,35.233337
50.367,36.354118
51.323,39.211356
52.052,39.817503
52.468,40.072531
53.543,40.861482
53.767,41.783414
54.237,41.531786
55.546,44.144015
55.933,45.03216
56.664,46.139004
57.198,48.2443
57.72,46.929285
58.968,49.601414
59.255,49.585293
60.401,
60.906,54.197774
61.358,53.089693
61.879,56.821782
62.626,57.104906
63.206,58.659662
64.542,61.766605
64.833,61.345491
65.706,65.304246
65.898,63.949484
66.864,67.276069
67.739,68.025624
68.112,69.680899
69.061,71.908105
69.314,72.463827
69.934,71.762424
70.959,76.866574
71.483,76.727661
72.363,80.889715
72.515,75.548124
73.729,79.964799
74.782,86.884012
74.933,90.817753
75.621,90.393095
76.326,88.642452
76.593,86.807667
77.727,96.436434
77.996,95.004073
78.908,99.66335
79.918,101.420932
80.198,102.038438
81.121,114.406614
81.899,107.370886
82.428,108.581302
82.774,109.852499
83.658,111.114587
84.671,120.566319
84.792,115.792204
85.697,122.946966
86.317,123.785692
87.128,130.879988
87.929,130.44654
88.777,125.989511
89.077,126.509915
89.969,143.4727
90.583,
91.253,134.404813
91.722,139.720832
92.311,49.194835
92.966,140.255927
93.711,146.457103
94.602,151.330125
95.366,150.676068
95.954,153.508262
96.456,153.252241
97.603,165.659674
98.221,169.248666
98.522,168.116707
99.104,163.07446
99.971,190.622311
100.874,173.336518
101.363,189.643695
102.084,181.055453
102.606,199.753
103.415,206.988884
104.309,193.550844
