Temperatura_C,PresionVapor_kPa
29.057,1.962712
29.595,2.02942
30.677,2.154683
32.02,2.316641
32.101,2.285536
33.397,2.436228
34.632,2.623526
35.103,2.722697
36.037,2.86966
37.05,2.988966
38.264,3.244888
38.734,3.270282
39.67,3.434255
40.568,3.584022
41.993,3.860041
42.886,4.058028
43.546,4.189343
44.319,4.276417
45.285,4.599911
46.333,4.700416
46.744,4.8557
48.063,5.14809
48.473,5.203289
49.493,5.51655
50.699,5.789979
51.128,5.959645
52.282,6.306217
53.035,6.603931
54.052,6.825025
54.44,6.872666
55.542,7.237135
56.653,7.648465
57.875,8.065596
58.551,8.43891
59.483,8.780888
60.517,8.994161
61.1,
62.229,9.419106
62.908,9.931994
63.62,10.179883
64.784,10.76701
65.873,11.366372
66.723,31.179427
67.549,12.111429
68.927,12.843313
69.427,13.051218
70.437,13.645172
71.586,13.655988
71.776,14.304216
72.723,14.878187
74.176,15.698703
74.565,15.962663
75.627,16.834672
76.731,
77.592,18.51549
78.661,
79.506,19.321809
80.317,19.860313
80.845,20.287871
82.056,20.964819
82.856,21.84439
83.424,22.422926
84.87,23.735215
85.644,24.408291
86.388,24.75241
87.229,25.063335
87.933,25.989708
89.109,28.048293
90.059,28.688266
90.696,29.094378
91.991,29.882232
92.436,30.718471
93.127,30.811197
94.656,32.827821
95.264,33.679314
96.216,34.702998
96.97,36.393512
97.713,35.802974
99.182,37.93769
99.69,38.215806
101.056,
101.782,42.026631
102.454,41.581014
103.197,44.501724
104.164,45.0468
104.964,46.484899
106.521,49.066211
107.033,49.117948
108.127,52.328691
108.54,51.716829
109.726,54.518329
110.822,55.461307
111.416,57.062294
112.586,59.113693
113.059,59.927546
113.9,59.808276
115.145,64.063871
115.89,64.382938
116.99,67.979371
117.363,64.315074
118.798,68.144109
120.071,73.93597
120.443,77.479745
121.352,77.620775
122.277,76.705776
122.766,75.711781
124.12,83.850386
124.61,83.205794
125.742,87.443794
126.973,89.344719
127.474,90.376934
128.617,101.042965
129.616,95.750503
130.366,97.282557
130.933,98.893846
132.037,100.443408
133.392,109.284663
133.492,105.139244
134.738,112.107314
135.579,113.38427
136.61,120.063603
137.632,120.223401
138.701,116.830146
139.222,117.880369
140.335,133.425734
141.169,
142.06,126.459146
142.749,131.841352
143.559,46.461096
144.435,133.421603
145.4,139.628464
146.513,144.603447
147.497,144.511571
148.306,147.716487
149.028,148.064505
150.396,160.125445
151.235,164.116413
151.757,163.761707
152.559,159.493446
153.647,186.537514
154.771,170.259482
155.48,186.791194
156.422,178.92024
157.164,197.989234
158.195,205.681052
159.309,192.765502
