Temperatura_C,PresionVapor_kPa
-22.943,2.013974
-22.563,2.073759
-21.64,2.206716
-20.534,2.372954
-20.456,2.342763
-19.396,2.49623
-18.319,2.698548
-18.008,2.787232
-17.232,2.939018
-16.378,3.065216
-15.322,3.33933
-15.011,3.349808
-14.234,3.519299
-13.494,3.67286
-12.228,3.977931
-11.494,4.181644
-10.992,4.306125
-10.378,4.389757
-9.57,4.725273
-8.681,4.835566
-8.429,4.970611
-7.268,5.292281
-7.016,5.322735
-6.155,5.650084
-5.108,5.947956
-4.837,6.094018
-3.842,6.464491
-3.248,6.760019
-2.389,6.994057
-2.16,7.00823
-1.216,7.394193
-0.264,7.830016
0.799,8.281646
1.317,8.646929
2.09,8.99965
2.965,9.228686
3.39,
4.36,9.655444
4.88,10.161166
5.434,10.39685
6.439,11.021941
7.37,11.654454
8.061,31.953367
8.729,12.403306
9.947,13.205828
10.289,13.372858
11.141,13.993557
12.13,14.030246
12.162,14.610433
12.951,15.201883
14.245,16.112087
14.475,16.313278
15.378,17.226546
16.324,
17.026,18.969869
17.937,
18.623,19.807928
19.276,20.343522
19.645,20.719338
20.697,21.459427
21.339,22.34139
21.749,22.872998
23.035,24.310823
23.651,24.973774
24.237,25.29233
24.919,25.594535
25.464,26.500393
26.481,28.658724
27.273,29.319176
27.751,29.672907
28.888,30.558262
29.174,31.308833
29.706,31.351479
31.077,33.550557
31.526,34.346776
32.32,35.39947
32.915,37.084916
33.499,36.43464
34.81,38.754577
35.159,38.928584
36.367,
36.934,42.889612
37.447,42.359314
38.031,45.288756
38.84,45.855938
39.482,47.284152
40.879,50.120585
41.233,50.036625
42.168,53.374364
42.422,52.572296
43.45,55.518737
44.387,56.538203
44.823,58.052238
45.834,60.233904
46.149,60.891371
46.831,60.735616
47.917,65.194752
48.503,65.444043
49.446,69.18119
49.66,65.222283
50.936,69.318587
52.051,75.382289
52.264,78.743165
53.014,78.873495
53.781,77.934993
54.11,76.726547
55.306,85.201969
55.638,84.328024
56.611,88.734913
57.683,90.820942
58.025,91.646744
59.011,102.614853
59.851,97.25706
60.442,98.714218
60.85,100.148653
61.796,101.816653
62.933,110.843104
62.992,106.547576
64.021,113.600904
64.703,114.839241
65.576,121.680823
66.439,121.899688
67.349,118.529359
67.711,119.343047
68.666,135.235906
69.341,
70.074,128.063624
70.604,133.35593
71.256,46.967425
71.973,134.838075
72.78,141.13763
73.733,146.301059
74.559,146.243701
75.21,149.39968
75.773,149.601909
76.982,162.135347
77.662,166.102179
78.026,165.413477
78.67,161.010357
79.598,188.4416
80.564,172.155844
81.115,188.673642
81.898,180.736054
82.482,199.807511
83.353,207.6683
84.309,194.80151
