Temperatura_C,PresionVapor_kPa
3.057,1.959854
3.34,2.006687
4.167,2.126813
5.08,2.264623
5.254,2.251141
6.121,2.375462
7.101,2.560568
7.316,2.630455
7.995,2.763473
8.753,2.872798
9.712,3.122119
9.927,3.116079
10.608,3.263181
11.251,3.39449
12.42,3.672892
13.058,3.849149
13.463,3.94804
13.981,4.011406
14.692,4.306798
15.484,4.399425
15.64,4.50003
16.704,4.789043
16.86,4.794085
17.624,5.079687
18.575,5.344143
18.749,5.45027
19.648,5.777014
20.145,6.023804
20.907,6.225259
21.04,6.210287
21.887,6.547742
22.743,6.929564
23.71,7.330812
24.131,7.631436
24.807,7.932803
25.586,8.132408
25.914,
26.788,8.486997
27.211,8.905906
27.668,9.09332
28.577,9.644042
29.411,10.197648
30.006,27.927416
30.577,10.827361
31.699,11.552625
31.945,11.662734
32.699,12.203563
33.527,12.21884
33.592,12.736999
34.22,13.203023
35.418,14.039044
35.551,14.161659
36.358,14.960574
37.207,
37.813,16.475296
38.627,
39.216,17.227756
39.772,17.684111
40.045,17.964844
41.0,18.654474
41.546,19.402224
41.859,19.817943
43.049,21.143631
43.568,21.706594
44.057,21.976543
44.643,22.25275
45.091,23.007054
46.012,24.904866
46.707,25.510162
47.089,25.791055
48.129,26.669958
48.318,27.238104
48.755,27.276302
50.029,29.325746
50.381,29.972957
51.078,30.928745
51.577,32.358949
52.065,31.841724
53.279,34.022755
53.531,34.123733
54.643,
55.113,37.697492
55.53,37.264543
56.017,39.74941
56.729,40.34599
57.275,41.604084
58.576,44.353329
58.833,44.234509
59.671,47.240451
59.829,46.473322
60.76,49.203426
61.601,50.284452
61.94,51.551978
62.854,53.668585
63.073,54.15406
63.658,54.14046
64.648,58.254086
65.138,58.540972
65.984,62.000062
66.101,58.503288
67.28,62.466121
68.299,68.076688
68.416,70.813927
69.069,71.128352
69.739,70.53671
69.972,69.431608
71.071,77.253836
71.307,76.424572
72.183,80.6288
73.159,82.922107
73.405,83.572691
74.293,93.595817
75.037,89.236482
75.532,90.64729
75.843,91.889989
76.692,93.792074
77.636,102.009141
77.792,98.642549
78.628,105.070539
79.214,106.413201
79.99,112.960966
80.757,113.593198
81.57,111.023232
81.836,111.698856
82.694,126.634942
83.272,
83.909,120.68994
84.342,125.632195
84.897,44.215796
85.518,127.540536
86.228,133.751666
87.085,139.123108
87.814,139.521011
88.368,142.718475
88.835,143.061679
89.947,155.776604
90.531,159.840912
90.798,159.097375
91.346,155.185796
92.178,181.960333
93.047,167.088532
93.501,183.130654
94.187,175.950344
94.675,194.614656
95.45,202.93454
96.309,191.129448
