Temperatura_C,PresionVapor_kPa
100.057,2.074219
100.54,2.137412
101.567,2.260795
102.854,2.421477
102.88,2.381829
104.121,2.52976
105.301,2.715011
105.716,2.809163
106.595,2.951557
107.553,3.064841
108.712,3.31741
109.127,3.333871
110.008,3.491239
110.851,3.633572
112.22,3.903363
113.058,4.093133
113.663,4.214845
114.381,4.29188
115.292,4.605742
116.284,4.696007
116.64,4.839195
117.904,5.120662
118.26,5.163303
119.224,5.463298
120.375,5.724073
120.749,5.878386
121.848,6.209851
122.545,6.490308
123.507,6.696854
123.84,6.729223
124.887,7.075783
125.943,7.467588
127.11,7.865696
127.731,8.215119
128.607,8.536296
129.586,8.734127
130.114,
131.188,9.12402
131.811,9.604969
132.468,9.831087
133.577,10.389797
134.611,10.958766
135.406,30.029195
136.177,11.652262
137.499,12.353926
137.945,12.535438
138.899,13.096791
139.992,13.108459
140.127,13.698291
141.02,14.238518
142.418,15.028774
142.751,15.257597
143.758,16.083736
144.807,
145.613,17.671169
146.627,
147.416,18.435152
148.172,18.938802
148.645,19.324547
149.8,19.978812
150.546,20.802588
151.059,21.331167
152.449,22.598092
153.168,23.227958
153.857,23.548848
154.643,23.846097
155.291,24.70885
156.412,26.662088
157.307,27.277527
157.889,27.651008
159.129,28.436021
159.518,29.194935
160.155,29.283892
161.629,31.241199
162.181,32.029902
163.078,33.01383
163.777,34.598276
164.465,34.063224
165.879,36.143769
166.331,36.391589
167.643,
168.313,40.045907
168.93,39.643591
169.617,42.379304
170.529,42.941293
171.275,44.311411
172.776,46.863785
173.233,46.904958
174.271,49.981599
174.629,49.38938
175.76,52.107593
176.801,53.086168
177.34,54.589369
178.454,56.624076
178.873,57.37262
179.658,57.325234
180.848,61.44698
181.538,61.794212
182.584,65.286771
182.901,61.831342
184.28,65.622153
185.499,71.239724
185.816,74.532347
186.669,74.770621
187.539,74.022713
187.972,73.08933
189.271,80.978255
189.707,80.371404
190.783,84.55159
191.959,86.569228
192.405,87.550543
193.493,97.857744
194.437,93.010352
195.132,94.552696
195.643,96.112553
196.692,97.796421
197.992,106.53311
198.036,102.443953
199.228,109.374999
200.014,110.735204
200.99,117.351066
201.957,117.72506
202.97,114.694446
203.436,115.727385
204.494,130.984097
205.272,
206.109,124.582771
206.742,129.890587
207.497,45.760874
208.318,131.747047
209.228,138.004989
210.285,143.15083
211.214,143.296453
211.968,146.593245
212.635,147.052128
213.947,159.347639
214.731,163.471791
215.198,163.14746
215.946,159.092058
216.978,186.219507
218.047,170.397731
218.701,186.993384
219.587,179.396498
220.275,198.613829
221.25,206.668853
222.309,194.068972
