ID,pH,Temp_C,DBO5_mgL,DQO_mgL,SST_mgL,N_Total_mgL,P_Total_mgL,Grasas_Aceites_mgL,Conductividad_uScm,OD_mgL,Estado
1,7.6,23.6,151.3,106.5,92.8,23.8,4.24,20.8,1665.0,6.42,PROBLEMATICO
2,6.83,25.5,145.5,60.1,241.3,20.8,5.69,35.1,993.0,3.76,PROBLEMATICO
3,7.78,24.0,35.7,144.3,120.2,39.1,5.02,,1153.0,3.34,PROBLEMATICO
4,8.83,27.6,172.2,276.9,149.1,49.6,0.17,46.3,,6.37,PROBLEMATICO
5,6.72,33.0,14.1,434.3,211.7,34.4,3.44,20.9,1560.0,0.0,PROBLEMATICO
6,6.72,23.1,61.1,374.9,134.1,40.2,5.96,17.0,1400.0,1.95,PROBLEMATICO
7,8.9,,59.9,37.7,41.8,18.1,5.25,2.1,2534.0,4.99,TRATABLE
8,7.92,23.1,260.3,183.1,244.1,24.3,1.65,3.5,931.0,6.18,PROBLEMATICO
9,6.44,22.8,99.2,263.7,265.5,48.7,5.25,8.2,2455.0,6.19,GRAVE
10,7.65,31.1,315.0,202.8,43.1,,6.74,10.7,68.0,0.0,GRAVE
11,6.44,31.6,192.3,201.5,35.7,17.6,1.07,9.3,1543.0,3.53,TRATABLE
12,6.44,31.3,160.3,60.1,342.4,22.6,1.88,1.1,90.0,6.22,PROBLEMATICO
13,7.29,20.4,67.2,42.5,163.2,40.7,9.32,27.3,483.0,2.45,PROBLEMATICO
14,4.7,24.7,25.8,177.5,140.4,42.3,,39.8,518.0,4.03,PROBLEMATICO
15,4.93,,167.1,,97.4,6.8,2.63,10.6,463.0,5.4,PROBLEMATICO
16,6.33,27.2,113.6,365.3,36.9,28.5,2.53,2.4,774.0,4.63,TRATABLE
17,5.78,21.6,0.5,2.9,120.6,21.9,4.44,15.0,,5.48,PROBLEMATICO
18,7.38,29.3,16.5,373.6,237.4,20.8,7.12,57.4,,4.15,PROBLEMATICO
19,5.91,23.4,33.7,357.8,,45.9,0.53,45.1,70.0,5.64,PROBLEMATICO
20,,36.0,283.9,152.1,201.0,17.7,2.8,6.1,1546.0,5.69,PROBLEMATICO
21,8.76,34.7,319.2,430.1,316.6,11.6,8.96,11.7,1370.0,6.21,GRAVE
22,6.73,30.0,138.4,383.8,82.0,7.3,6.47,0.1,2751.0,6.09,PROBLEMATICO
23,7.08,33.8,133.4,194.4,,18.9,6.22,12.3,1171.0,6.47,PROBLEMATICO
24,5.29,27.3,89.7,174.1,,,5.22,,401.0,,PROBLEMATICO
25,6.35,30.8,35.9,447.5,46.7,6.4,4.93,8.6,901.0,3.65,TRATABLE
26,7.13,34.4,243.8,291.8,,6.0,2.6,43.2,887.0,4.9,PROBLEMATICO
27,5.62,28.2,288.6,438.0,327.2,7.1,2.33,31.5,337.0,8.42,GRAVE
28,7.45,25.7,39.6,180.0,106.0,8.3,6.42,30.7,806.0,4.96,PROBLEMATICO
29,6.28,18.5,112.5,267.7,246.8,29.2,2.38,21.9,1095.0,7.86,PROBLEMATICO
30,6.65,26.6,79.5,,125.9,13.3,4.85,1.3,1157.0,7.46,TRATABLE
31,6.28,31.1,82.2,245.4,320.0,9.4,4.46,33.2,234.0,7.47,PROBLEMATICO
32,9.22,31.7,,378.5,24.5,20.2,10.58,9.2,1627.0,7.32,PROBLEMATICO
33,6.98,29.5,1.9,563.0,146.5,42.7,3.52,15.4,2345.0,2.6,GRAVE
34,5.73,24.3,162.0,81.1,,17.6,7.51,16.4,1396.0,2.34,PROBLEMATICO
35,7.99,17.1,185.5,155.4,69.9,19.2,6.12,5.9,1974.0,2.78,PROBLEMATICO
36,5.53,24.5,107.2,232.8,69.3,20.4,3.65,,1327.0,6.74,PROBLEMATICO
37,7.25,25.5,200.4,74.6,113.3,10.8,0.27,,467.0,3.95,PROBLEMATICO
38,4.65,25.4,133.3,426.1,21.2,33.9,3.84,12.8,1390.0,,PROBLEMATICO
39,,30.1,229.5,237.4,132.8,33.1,,14.3,848.0,3.67,GRAVE
40,7.24,36.9,17.0,272.0,186.0,36.7,,36.0,,5.46,PROBLEMATICO
41,7.89,27.6,88.6,361.6,13.2,67.1,6.51,25.6,1145.0,3.11,PROBLEMATICO
42,7.21,25.9,113.5,237.1,76.5,1.4,8.03,35.2,1774.0,3.5,PROBLEMATICO
43,,25.7,120.5,102.8,394.1,4.8,4.29,17.7,962.0,3.89,PROBLEMATICO
44,6.64,27.6,22.3,238.7,172.9,34.7,,13.8,2558.0,6.34,PROBLEMATICO
45,,,46.8,95.9,41.8,15.9,4.42,14.3,1866.0,1.18,PROBLEMATICO
46,6.14,27.6,205.3,269.4,0.0,4.3,5.71,26.5,817.0,4.52,PROBLEMATICO
47,6.45,29.3,56.4,429.4,162.6,16.9,8.48,33.5,795.0,3.79,PROBLEMATICO
48,8.27,28.0,46.4,38.5,150.1,10.9,0.66,10.7,2701.0,5.72,TRATABLE
49,7.41,,193.6,25.8,81.3,53.0,1.7,12.6,965.0,4.27,TRATABLE
50,,29.2,25.6,258.9,,62.7,7.75,26.0,1455.0,2.66,GRAVE
51,7.39,18.1,,111.8,401.9,7.4,8.31,22.8,1495.0,8.8,PROBLEMATICO
52,6.54,30.2,87.5,255.7,113.6,4.6,0.22,13.2,7.0,7.59,TRATABLE
53,6.19,,10.3,307.7,227.3,8.3,8.69,24.0,2.0,4.99,PROBLEMATICO
54,7.73,21.5,6.9,135.9,232.3,9.6,3.72,6.1,1799.0,5.68,TRATABLE
55,8.24,21.5,171.6,374.2,245.6,8.0,,0.6,467.0,3.01,PROBLEMATICO
56,8.12,29.2,198.8,39.5,,18.5,4.66,12.3,1208.0,4.92,TRATABLE
57,5.99,25.9,191.0,246.0,333.9,14.0,1.8,4.5,143.0,9.81,GRAVE
58,6.63,18.6,219.8,,133.1,2.4,1.99,10.6,970.0,6.98,TRATABLE
59,7.4,29.4,231.7,150.6,182.2,3.5,2.1,6.5,1350.0,2.39,PROBLEMATICO
60,8.17,,71.6,554.9,140.2,49.8,3.39,43.1,242.0,5.31,PROBLEMATICO
61,6.42,27.7,160.5,307.5,126.0,15.6,9.96,5.5,1238.0,4.66,PROBLEMATICO
62,6.78,28.2,72.3,412.8,167.8,14.6,6.47,30.0,1276.0,5.54,PROBLEMATICO
63,,31.4,52.7,277.2,21.4,5.4,8.3,4.4,,8.06,PROBLEMATICO
64,5.56,35.9,170.4,,57.1,13.7,3.03,20.9,430.0,2.68,GRAVE
65,7.98,20.2,35.7,325.1,,39.3,4.69,26.6,936.0,4.1,PROBLEMATICO
66,8.63,26.7,37.6,295.8,52.0,32.7,0.79,42.5,937.0,2.25,PROBLEMATICO
67,6.91,,,449.3,,36.6,3.16,,2547.0,4.93,PROBLEMATICO
68,,,163.9,,183.4,0.3,2.34,7.9,1115.0,4.72,PROBLEMATICO
69,7.43,28.1,132.3,661.3,,0.0,5.47,16.2,875.0,8.67,PROBLEMATICO
70,6.23,25.2,40.8,422.9,288.2,42.4,1.88,49.5,1114.0,2.8,GRAVE
71,7.43,24.8,186.9,44.9,139.4,,1.49,17.9,1497.0,6.31,PROBLEMATICO
72,8.85,21.4,181.2,218.2,5.8,17.3,,,1471.0,0.0,PROBLEMATICO
73,6.96,31.9,127.7,321.5,117.6,37.4,3.84,8.1,1515.0,8.37,PROBLEMATICO
74,8.88,29.3,14.0,258.0,257.1,0.3,1.9,7.6,1622.0,4.56,PROBLEMATICO
75,3.86,31.6,81.7,373.6,48.4,0.4,1.46,28.1,178.0,4.78,PROBLEMATICO
76,7.99,25.4,195.4,,130.6,7.1,,7.0,1562.0,4.05,PROBLEMATICO
77,7.1,23.7,239.4,5.3,197.5,28.5,6.44,5.9,1329.0,5.45,PROBLEMATICO
78,,21.6,90.6,480.6,405.2,25.9,5.25,18.8,764.0,3.31,PROBLEMATICO
79,7.11,28.8,97.5,160.6,,12.6,1.73,10.0,1275.0,4.79,PROBLEMATICO
