T_K,Cp
2048.331,25.180756
2109.4383,
2141.7071,25.688818
2193.4038,26.814249
2251.1239,26.689466
2273.0771,27.335844
2367.9544,27.530843
2377.5006,27.92452
2393.94,27.762502
2474.9637,28.764787
2488.8009,29.40417
2529.0396,28.640722
2536.2367,29.659211
2575.3736,
2575.5508,29.551564
2625.3731,29.596545
2633.2451,
2661.0414,30.315513
2683.7375,30.856974
2773.3033,31.491277
2793.8744,32.403428
2814.8522,31.692017
2873.2789,
2922.3431,32.690877
2923.6544,32.720133
2950.3299,33.468445
3139.2051,34.427217
3166.8498,
3187.8123,35.026834
3219.335,33.829561
3229.0407,34.16356
3262.5467,34.183699
3316.1256,34.719885
3430.3821,34.684042
3459.39,35.865686
3493.8139,35.534378
3495.1608,34.871315
3535.8591,35.252042
3561.5649,36.048992
3636.8392,36.554329
3645.3655,
3757.5843,37.975924
3759.3142,36.615276
3766.1874,35.862458
3784.2442,35.27228
3795.1603,
3811.9985,
3845.9556,36.315562
3857.7451,36.225447
3877.028,36.511567
3888.3134,37.189453
3894.4456,36.698465
3912.7928,36.547997
4013.6702,36.160973
4222.8094,35.858771
4226.8118,36.513631
4236.5547,36.750007
4245.2134,37.752653
4269.2145,36.841252
4283.1682,37.305704
4528.1631,36.281873
4533.6641,35.899226
4545.8217,36.004635
4582.2349,36.088356
4654.0971,37.541814
4663.6396,35.917404
4665.7786,36.81944
4679.9195,35.847493
4685.5368,36.838315
4736.0216,36.455909
4738.2249,36.157675
4791.0581,36.127422
4795.2288,35.786975
4806.762,36.362561
4826.2699,35.838468
4894.7187,35.292667
4983.9038,35.088847
5036.9526,35.757218
5049.1024,36.48368
5064.4656,35.692764
5100.124,35.468973
5117.7496,35.647116
5127.0871,36.170124
5139.7035,35.565082
5148.3267,35.211759
5151.7506,36.010706
5222.7712,35.499279
5259.6192,36.005577
5294.4179,
5313.8035,34.437511
5332.23,34.324693
5333.8956,35.908196
5416.4009,35.775866
5437.0814,34.73987
5574.5175,34.381391
5708.453,35.121219
5848.3154,33.627268
5870.657,33.714368
5883.3495,34.490833
5902.9531,
