ID,Condicion,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083,M084,M085,M086,M087,M088,M089,M090,M091,M092,M093,M094,M095,M096,M097,M098,M099,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119,M120,M121,M122,M123,M124,M125,M126,M127,M128,M129,M130,M131,M132,M133,M134,M135,M136,M137,M138,M139,M140,M141,M142,M143,M144,M145,M146,M147,M148,M149,M150,M151,M152,M153,M154,M155,M156,M157,M158,M159,M160,M161,M162,M163,M164,M165,M166,M167,M168,M169,M170,M171,M172,M173,M174,M175,M176,M177,M178,M179,M180,M181,M182,M183,M184,M185,M186,M187,M188,M189,M190,M191,M192,M193,M194,M195,M196,M197,M198,M199,M200,M201,M202,M203,M204,M205,M206,M207,M208,M209,M210,M211,M212,M213,M214,M215,M216,M217,M218,M219,M220,M221,M222,M223,M224,M225,M226,M227,M228,M229,M230,M231,M232,M233,M234,M235,M236,M237,M238,M239,M240,M241,M242,M243,M244,M245,M246,M247,M248,M249,M250
PLT001,Sana,6.6797,4.801,5.3143,4.9422,3.0878,4.8664,3.9712,7.3222,4.4217,4.127,3.7103,4.5126,6.6482,7.0491,7.8593,6.0983,4.4627,6.2263,5.1367,3.4429,3.4923,7.077,7.5876,5.5578,6.6793,5.2353,6.7355,5.7013,8.9953,3.7612,6.5359,4.8881,6.8784,5.0037,5.4795,7.3731,6.4996,3.1438,5.3622,7.9551,7.9359,8.7251,5.2041,6.8411,6.5446,7.5126,6.9428,4.5847,5.0293,6.793,6.155,5.8996,5.425,4.4903,8.4581,7.1117,6.0571,3.3145,3.7124,6.043,3.7714,7.1746,3.4704,3.5344,2.9635,5.6143,7.6784,7.6647,7.828,4.7909,3.2888,5.4753,5.9792,7.6704,4.1712,3.4848,4.0028,6.3766,4.1665,6.4162,6.2248,3.9215,4.2246,4.3499,3.9608,3.6277,7.6401,4.6444,7.5973,4.518,5.2954,6.3261,3.481,4.6992,6.6933,8.5062,5.266,5.8724,5.167,5.2422,5.2948,8.1201,3.7835,5.5695,7.5513,5.9475,5.2125,5.2298,3.2333,5.7604,8.1232,4.8419,3.175,3.8877,6.815,7.1376,5.591,3.756,7.627,3.1851,6.2099,4.1994,2.911,5.2565,5.7711,3.8022,7.1069,6.2127,5.6244,7.9162,3.2234,6.9159,7.585,6.8869,7.0995,7.257,6.8688,2.7998,5.0304,6.3981,4.611,4.3867,7.9123,4.4682,3.3676,4.3774,7.7762,4.9294,3.9272,7.9657,6.279,4.4999,4.0778,6.5321,7.5349,8.2223,6.9763,7.3503,5.8548,3.6068,4.3818,6.4584,3.698,2.6589,7.1612,4.0036,3.7959,4.3853,6.2062,5.0362,3.3975,3.9194,5.0193,4.9019,5.5012,4.7788,6.3158,5.2163,3.6662,4.7271,4.8735,7.1597,7.2067,7.9185,5.5894,7.6113,3.9675,3.5138,2.9287,5.9507,7.8711,4.76,7.5439,7.932,4.4295,4.7025,4.5914,5.8702,3.9806,5.7074,4.8208,3.6759,4.3581,6.0445,3.7615,5.781,3.251,6.1728,5.1526,5.6406,3.4393,6.0569,4.0943,5.0634,7.9272,6.7541,2.7091,6.7457,6.5291,7.9659,5.9998,5.233,5.4308,3.6806,6.5961,6.4321,3.739,3.3644,6.5451,6.2622,3.9922,4.7588,4.0081,7.3516,5.349,5.5936,6.9275,3.8891,3.3134,5.9802,6.8767,7.553,6.3402,3.9875,7.351,5.7318,7.5217,2.6373,7.4327,3.7477
PLT002,Sana,5.814,3.7496,4.7977,5.2945,3.5781,5.3155,3.6772,7.0555,4.1023,4.2314,3.8205,4.4349,6.76,7.0275,8.5147,7.1279,4.3529,6.2104,5.3962,4.0647,3.7051,7.4339,7.101,6.069,6.3086,4.1188,6.803,5.5007,6.6547,3.1165,6.7898,4.3254,7.011,4.6321,6.0826,6.9418,6.7927,2.8023,5.3186,8.4679,8.0345,7.8733,4.115,6.8974,6.848,7.0726,6.8644,4.2794,4.9868,6.2562,6.1239,5.5989,5.4961,4.114,8.0014,7.4902,5.8037,3.4847,2.633,6.5077,3.6595,7.5296,4.4694,4.4664,3.4137,4.8688,8.0411,7.2652,7.4557,4.1425,3.6487,5.4138,6.5668,7.2925,4.8856,3.2967,4.6268,7.0694,3.531,6.9694,7.0366,4.2455,4.2714,4.2926,4.4969,3.7814,7.2032,4.2953,7.3763,4.9334,6.0561,5.4549,3.9143,3.9339,5.8251,6.9994,5.5946,5.4911,6.132,5.1415,5.889,8.1217,4.0537,5.645,7.7743,6.0144,5.2936,4.6417,3.1669,5.1285,7.7172,4.8321,3.7154,4.4671,6.851,6.6396,5.3193,4.2064,8.7132,2.9397,5.6102,4.2987,3.2653,6.0976,4.9636,3.3847,7.7453,6.7372,6.3807,6.9877,4.4276,8.1108,7.3259,6.462,7.9815,8.0361,5.8973,2.9601,5.0585,7.6929,5.9104,5.0904,7.4177,4.528,3.8311,4.2494,7.9466,4.9759,4.1226,7.5963,6.0256,4.4896,3.9136,6.542,7.3945,7.7549,7.7277,7.3113,6.3855,3.8881,4.699,6.3408,3.1091,2.7891,6.7952,4.3587,3.2304,4.8921,6.3319,4.2421,3.4313,5.1261,4.6703,5.3184,5.2009,5.0993,6.5526,5.0674,2.6457,3.9489,4.4116,6.8632,6.1132,7.486,4.7462,7.6521,4.3243,4.3955,3.0476,5.7033,7.8441,4.5355,7.1952,8.0555,4.5065,4.4149,4.5175,5.4997,3.955,5.1918,5.694,4.7328,4.4544,5.945,3.8018,6.8952,2.6344,6.7137,5.0266,6.2718,3.6888,6.068,4.6663,4.1379,7.9241,6.9952,2.4857,6.7538,6.1337,8.1625,5.4318,5.4932,6.1693,3.6467,6.9622,7.5939,4.3004,3.2627,6.1925,6.299,4.0624,5.4864,4.1185,7.7186,5.5619,5.9392,6.6835,4.2779,3.6961,6.7594,7.1794,7.2826,6.2925,3.4683,7.321,5.7451,7.2269,3.0403,7.6048,3.9801
PLT003,Sana,6.1189,3.551,5.3297,4.6163,3.3613,5.2065,4.2103,6.985,5.3518,3.895,4.1673,5.1868,7.3896,6.7214,7.5053,6.878,4.0579,5.6603,5.7113,3.6,2.8106,6.7728,7.5221,5.6557,5.97,4.1289,6.8457,5.9542,8.2203,3.5336,5.9429,5.6231,7.5308,4.96,5.9007,6.9105,6.368,3.8028,5.5168,7.7428,7.4968,7.8172,5.3704,7.5125,6.7157,6.8842,7.4939,3.9192,5.4891,6.108,5.6142,5.8531,5.2557,4.022,7.913,8.0137,5.8544,2.8389,3.6139,7.6644,3.5502,7.7594,3.9745,3.3196,3.391,5.1571,8.1731,7.2957,7.921,4.4501,2.4524,5.7603,6.2051,6.5941,4.7993,3.4919,3.9146,6.2295,3.7607,7.1485,7.9793,5.6369,4.1651,4.6726,4.1098,4.1027,7.0963,5.0894,7.7741,4.1355,4.7311,6.2142,4.1736,4.5004,6.009,7.0241,5.2666,5.2289,4.4221,5.4076,5.1657,8.1053,3.811,5.3097,7.8872,5.1557,4.8312,5.0981,3.3126,5.9284,8.0979,4.8757,3.5084,4.8467,6.0291,6.3551,5.2326,3.8191,7.5938,3.5223,6.1718,4.8109,2.8508,5.1721,6.4672,3.5906,7.7309,5.7641,5.5609,6.9047,4.0269,7.8377,7.1011,6.8977,7.556,6.0366,6.4653,3.2252,4.8839,6.4586,4.7651,5.76,7.5643,4.999,3.5491,4.3519,7.2996,4.1988,4.1981,7.9569,6.2445,4.6007,3.822,6.3287,6.4103,8.331,7.4123,8.4459,6.416,4.1157,5.4082,6.1659,3.9641,3.1796,7.3857,3.9762,4.6679,4.0458,6.3202,5.044,2.9058,4.2404,4.235,5.5375,5.0392,5.1473,6.3539,5.0498,4.1958,5.1524,4.3007,6.7315,6.3443,8.1149,4.6671,7.4403,4.0986,4.261,2.8858,5.7008,8.14,4.2583,7.1381,7.5949,3.1964,3.9347,5.2204,5.4317,4.1132,5.5623,5.7898,3.9948,4.5017,5.5577,3.4289,6.0102,2.9554,6.5072,4.9996,5.2761,4.0798,6.327,3.6489,3.8849,8.5249,7.8523,2.5303,6.9259,6.4261,8.4861,6.4703,5.0494,6.082,3.4776,6.4912,6.5375,3.5296,3.7001,6.9626,6.8578,3.5754,4.6384,3.4965,6.8588,5.3651,6.0365,6.0993,3.8265,3.4318,6.1409,6.9476,7.2248,6.5188,4.4402,7.3951,5.8698,8.1616,2.7335,7.9344,4.0964
PLT004,Sana,6.4585,3.3261,5.3831,5.8123,3.3823,5.3096,4.0378,7.0011,4.5049,3.8709,4.3063,4.5469,7.4534,7.3718,7.744,6.9094,3.8774,6.1589,6.0072,3.7216,3.3497,6.8365,7.5247,5.6795,5.3551,3.8984,6.1026,5.2376,8.1989,2.6272,6.2442,5.073,7.4212,4.8031,6.2666,6.7225,5.7693,3.6014,4.7538,7.9302,7.1726,7.7975,3.4341,6.7058,7.7668,6.7552,8.3354,4.2611,5.021,6.6368,5.8086,6.3371,5.2241,4.5902,8.0996,8.3615,5.9214,3.1904,3.0322,6.3273,4.7509,7.4893,3.9301,4.0164,2.9893,4.994,8.3618,7.1843,7.8505,4.5958,3.0203,5.634,7.3491,7.1694,4.6418,4.3449,3.8508,6.3125,3.7713,7.232,7.5604,4.1731,4.1147,5.0901,4.797,4.1881,7.2733,4.7846,7.4546,4.5133,4.9558,5.0332,3.2343,4.2212,6.3308,7.4461,5.6388,6.0053,5.8033,5.3749,5.6417,7.9018,3.9445,5.1405,7.2436,5.8891,5.3737,4.5934,2.9391,5.4441,7.6737,5.0338,2.7676,4.6297,6.3057,6.9851,5.1672,3.4164,8.1121,4.0771,6.0762,4.2955,2.9645,5.0205,5.6988,4.0492,6.8708,6.1331,5.2734,7.1571,3.7318,7.5251,7.4286,6.5089,7.9185,7.1805,5.7474,2.8801,5.6397,7.3001,4.9392,5.7889,7.4097,4.8004,4.2603,4.001,7.6274,4.9581,4.0978,7.4341,6.4744,4.648,4.3639,6.1436,6.9142,7.6184,7.7059,6.9366,6.86,4.5233,4.8246,5.6775,3.5472,2.5223,7.1311,3.82,3.6002,4.493,6.1375,4.8683,3.6256,4.0524,4.426,5.2484,5.4155,5.2129,6.331,5.0016,3.2819,5.2091,3.646,7.561,6.6925,7.834,4.9124,7.3217,3.4171,4.1777,3.5716,5.5337,8.1317,4.8593,7.0698,7.6634,4.597,3.7218,4.3202,5.4759,3.8189,4.9287,5.6175,4.2985,5.0812,5.6614,4.2051,6.632,3.1678,6.1094,5.1662,5.3721,4.4199,6.0072,4.6912,3.9621,7.8888,6.5679,2.9529,6.8273,5.8177,7.9825,5.8819,4.5262,6.0535,3.844,6.7767,6.6441,3.5752,3.1406,6.3918,6.7284,4.0045,4.6041,3.441,7.8291,5.0216,5.7434,6.5238,4.4365,3.4339,7.2104,7.2179,7.9075,6.6757,3.8157,7.4768,5.821,7.8436,3.4083,8.1618,3.689
PLT005,Sana,6.7934,4.0012,5.0665,5.6991,2.8391,4.8213,3.8307,7.2156,4.8978,3.5681,3.7124,5.3441,7.3939,7.0436,7.5796,7.0578,5.3679,6.4833,5.0855,3.7969,2.8832,7.4229,8.5404,5.9671,6.8787,3.7018,6.4312,5.7228,7.831,2.9643,6.1967,4.887,7.2805,4.7254,5.6883,6.8041,6.0784,3.3068,4.9577,7.3437,7.5633,7.9272,3.6751,6.6429,7.6207,6.5434,8.1347,3.7675,5.8856,6.2071,6.6148,5.2534,5.7212,4.8663,8.1361,7.5747,6.6211,3.4306,3.4731,5.4927,3.953,7.9382,4.4627,4.5181,3.2747,5.5667,7.8939,6.5831,7.5955,4.494,2.9358,5.2159,6.566,6.4206,4.6385,4.499,3.8225,6.5177,4.6994,6.8092,7.6587,4.4982,4.4124,5.2961,3.107,3.5667,7.6507,4.6311,7.5851,5.2315,5.582,5.8722,3.3718,4.1511,6.2244,6.9892,4.7743,5.6375,5.4759,5.8084,5.294,7.5005,4.0522,4.9405,7.5034,5.2738,5.4353,4.4984,4.2416,6.0031,7.3427,4.5825,3.5682,4.3779,6.8038,7.058,4.9123,4.159,7.8183,3.6661,6.3681,3.8815,3.5376,5.1551,5.414,3.6118,6.9398,6.4011,5.8415,6.9498,4.2428,7.6969,6.9847,6.569,7.6395,7.2479,5.6704,3.4549,5.4272,6.1851,5.6077,4.6805,7.4532,5.1626,3.836,4.628,7.9571,4.8298,3.8689,7.5727,5.4519,5.0976,4.2796,5.4793,6.5289,7.6214,7.3626,7.2363,6.0687,3.9391,4.4358,6.2872,3.8149,3.0613,6.5442,3.7248,4.201,4.653,5.8461,4.3896,4.0593,4.3541,3.9699,5.6149,4.8175,5.1965,6.7483,5.4662,3.3478,5.4468,4.1564,6.5133,6.5696,7.404,5.3795,7.4222,4.5068,3.9332,3.5132,5.7979,7.6266,5.1333,7.748,7.4302,4.5099,5.1159,4.2218,5.7598,3.272,5.1537,4.7282,4.1142,3.93,5.2592,3.7934,6.2531,3.692,6.657,5.2795,5.3162,3.7247,5.9953,4.6708,4.2413,8.7064,6.2791,3.1695,5.5714,5.4004,8.4426,5.9707,4.9337,6.1134,3.7666,7.5223,6.786,2.9788,3.2824,6.3187,6.1907,4.8637,4.4441,4.1345,6.7034,4.773,5.0737,6.9229,3.6204,3.3881,5.7704,7.1857,7.2531,6.7151,3.6226,7.6044,5.7094,7.7719,3.3839,7.406,3.7038
PLT006,Sana,6.3501,2.8917,5.0464,4.0775,3.8545,5.8117,3.3736,6.8921,4.521,3.8103,3.9219,4.7121,6.7274,6.7424,7.3017,6.7033,4.1893,6.39,5.4162,3.9381,3.4845,7.8168,6.6378,5.7074,6.2026,3.9996,5.8864,5.614,7.2896,3.3166,5.8385,3.9392,7.5845,4.7243,5.0382,8.0331,6.4369,3.2213,6.1207,7.8743,7.8924,7.6725,4.7349,7.5116,6.6126,7.2868,7.8268,3.7351,4.8393,6.1651,5.8599,5.9114,6.0225,4.1417,6.4797,7.6862,5.936,2.6088,3.1327,5.6381,3.6672,7.2466,4.2435,3.3809,3.426,5.0934,7.7855,6.7541,7.6017,4.7261,2.9995,5.1794,6.0409,7.0586,3.8911,3.9068,4.2619,6.948,3.5073,6.0672,6.6341,5.0861,3.9483,4.331,3.67,4.5141,7.5233,4.6831,7.2491,4.4223,5.2913,5.7411,3.6451,4.3938,6.3312,7.2218,5.3493,5.6983,6.0311,6.0905,5.4761,7.1548,4.034,5.5897,7.2436,5.0469,6.1334,4.8837,2.8308,5.3661,7.5451,5.8257,2.9133,4.1171,6.0766,6.5994,5.5098,4.0922,7.5997,3.0754,6.7761,3.5646,2.9859,6.095,5.8327,2.9649,7.2536,7.1162,4.7961,7.0788,3.8981,7.3083,7.5164,7.1131,7.785,7.8069,6.2369,2.7298,4.9707,6.2485,5.2183,4.7954,7.9349,4.4704,3.885,4.7057,7.2541,4.0999,3.7796,8.2793,5.7697,4.5529,4.0762,6.046,6.667,7.8789,7.4296,7.3485,7.0681,3.7234,4.3076,5.9691,3.2483,2.8858,6.8309,3.1066,4.0096,4.5736,6.1453,5.1202,3.6912,4.2501,3.4417,4.4841,5.0319,5.2997,6.7303,4.6407,3.4519,4.3007,4.5337,6.8018,6.0473,7.8666,4.872,6.8835,4.3854,4.2561,3.28,5.1686,7.9777,5.2106,7.6615,7.5393,4.7335,4.794,4.1391,5.491,3.8014,5.3978,5.8279,3.7831,4.3217,6.0584,4.0302,6.7156,3.1095,5.9442,5.2877,4.8863,3.7301,5.7667,3.8209,4.427,7.2018,7.0267,3.1989,6.0905,6.4643,7.9616,5.3364,4.7256,5.4382,4.2692,6.9347,6.0049,3.3192,3.4491,6.4373,5.8344,3.5402,4.416,4.3772,7.2956,5.1173,5.7687,7.1114,4.5316,3.5157,7.3121,6.6068,7.9194,6.481,4.2792,7.847,6.0941,8.0081,3.3781,7.6219,3.2824
PLT007,Sana,6.8207,3.2474,5.1543,5.5786,3.4314,5.3287,3.0733,7.0393,5.0885,4.0078,3.9745,4.5528,7.3182,7.4772,7.4074,6.2128,3.9029,6.4895,6.1636,4.1242,3.4317,7.8633,7.1671,5.4691,6.6986,4.2018,6.2887,5.5496,7.5804,3.3126,5.8625,4.6505,6.897,4.2813,5.7563,6.5991,6.61,3.9377,4.8242,7.6021,8.2857,7.7567,5.2167,6.5472,7.1534,7.2642,7.8774,4.6228,5.6537,6.7998,6.1259,6.0136,4.8472,3.5673,7.578,7.6832,6.584,3.4561,3.6852,6.5221,4.6034,7.085,4.3792,3.3216,3.3103,4.3736,8.2218,7.2046,7.9449,4.3093,3.4459,5.4475,6.5163,7.2396,4.9007,4.3134,4.6422,7.8148,3.0829,6.8337,6.692,4.9829,4.4237,4.9661,4.3777,2.8402,7.3232,4.3341,7.8249,3.8811,5.8086,5.256,3.7265,4.3415,5.7236,7.8342,5.157,5.9852,4.6016,4.6926,5.6776,7.4495,4.3729,5.5959,7.9768,6.0109,5.7686,5.2452,2.8988,5.4918,8.149,4.4097,3.1493,3.6532,6.0763,6.3606,5.443,4.022,8.6149,3.5707,6.2716,4.0829,3.1124,4.6447,5.9535,2.8758,6.9091,6.1148,5.9618,7.3769,3.5646,6.952,7.8057,6.9471,7.793,7.8351,5.514,2.9567,4.7188,6.6259,5.2761,4.7804,6.8932,4.8391,3.6633,3.8341,7.1457,4.2032,4.8279,7.3063,5.8107,5.0658,4.3475,5.3421,7.4028,7.9249,6.8778,7.2525,6.3162,4.0756,5.2761,6.0796,2.8679,2.8563,6.3016,3.6476,3.6496,5.3007,7.4136,5.2906,3.4326,3.9523,3.5415,5.0528,4.7516,5.2057,6.1147,5.2008,3.3632,4.7814,5.0185,7.2052,6.5103,8.0837,4.913,7.1564,4.5949,4.2259,3.1462,5.5725,7.9536,4.6151,7.0503,8.092,3.6103,4.5834,4.2407,5.7923,3.2654,4.9338,5.5615,4.6469,5.4489,5.3088,3.8253,6.0188,2.5329,6.371,5.375,5.4309,3.9906,5.689,3.8405,4.5291,8.2671,7.6227,2.8658,6.5924,6.416,7.7225,6.2748,4.2741,5.9673,4.606,6.6903,6.5781,3.4873,3.8136,6.7119,7.0139,3.8139,3.9019,3.8898,7.1718,5.6369,5.2452,6.9572,4.253,3.7908,6.3721,7.3937,7.7885,6.3589,3.4242,7.5841,5.4689,8.2789,2.3374,8.6826,3.4983
PLT008,Sana,6.21,3.839,5.4571,4.1885,3.5341,5.4257,3.8056,7.0522,4.7917,3.7327,3.969,4.1605,6.5584,7.3328,7.7586,6.9976,4.2424,5.7268,5.8075,4.4705,3.7156,7.2091,7.3263,6.5907,6.8357,4.488,6.8574,5.9749,7.6442,3.2323,6.1566,5.0331,7.9645,5.1806,6.1946,7.3337,6.2209,3.2653,5.877,8.6365,7.9832,6.9959,5.0413,7.3215,7.1177,6.979,7.2099,4.5351,4.8326,6.084,5.7349,6.2805,4.998,4.4432,7.4229,7.4484,6.4064,3.3713,3.7691,6.619,3.3893,7.0542,4.4136,3.8452,3.1773,5.524,7.4951,6.7898,7.375,4.3177,2.3666,5.2966,6.7891,7.0413,4.8332,2.8551,4.2051,7.3851,4.0858,6.7032,8.1442,5.2088,4.3474,4.9146,3.6636,3.2526,7.4535,4.3371,7.6638,4.3154,4.924,5.5781,3.7705,4.0768,6.0322,7.3456,4.994,5.401,5.2665,5.3557,5.5931,8.085,3.9377,5.1698,7.7409,4.985,5.7996,4.4394,3.3926,6.1156,7.9988,4.8035,3.5094,4.3286,6.4951,7.0195,5.9895,3.9098,8.0966,3.4749,5.6417,3.3142,2.9088,5.9569,5.7027,2.7031,7.1999,6.4179,5.8503,6.8731,4.28,7.3927,7.1311,7.3304,7.8422,7.407,6.4186,3.2808,5.1319,6.2561,5.6918,4.5376,6.8459,5.1718,4.1365,4.41,7.3478,4.8338,4.0978,8.2463,6.0796,4.8684,4.7087,6.1161,6.8714,7.7132,7.5564,7.451,6.9766,3.7701,4.8661,6.4753,3.5908,3.947,6.2945,3.673,3.2628,4.8,7.181,4.8854,3.7677,4.0548,4.1477,4.8769,4.744,4.7206,6.1973,4.5129,2.9946,5.2042,3.7375,6.9084,5.9819,7.7753,5.4027,7.9283,4.4073,3.9409,3.779,5.3651,8.7836,4.2211,6.5621,7.8113,4.1103,4.5805,4.045,5.5819,3.4257,5.3431,5.5227,3.4903,4.8837,5.4791,3.6636,6.4075,3.4316,6.3021,5.3068,5.4459,3.6384,6.3126,3.8716,5.0232,8.276,7.0577,2.9476,6.9308,6.2052,8.5663,5.5137,4.8495,5.7192,3.2384,6.5791,6.5979,3.6445,3.5856,6.498,6.2758,4.2338,5.2035,3.9311,7.1217,4.7913,5.1597,6.5609,3.6859,3.3006,6.627,6.7247,7.2323,7.4336,4.1452,7.7336,5.4193,7.8098,3.6285,7.8218,3.8691
PLT009,Sana,6.7409,4.0798,4.8037,5.0987,4.2072,5.018,3.4738,6.7158,5.1879,4.3189,2.9941,4.3531,7.163,6.9877,7.4622,6.5296,4.1568,5.4495,5.8704,3.4811,2.7521,7.6115,7.8227,5.4518,5.9224,4.4822,6.7618,5.3167,7.2556,2.503,6.5954,4.894,7.8994,4.3753,4.8523,7.361,6.9066,4.702,6.2909,8.0074,7.3338,7.5358,4.9809,7.1211,7.7292,7.0451,8.3923,4.2586,5.0987,6.3494,5.8838,5.15,5.6786,4.5129,7.5481,7.31,6.5548,3.0325,4.1764,6.7851,3.988,7.4416,4.5436,3.5204,2.9922,5.2879,8.1221,7.2783,8.0806,4.3257,2.5789,5.6291,6.8359,7.1732,4.8771,3.3447,4.2058,5.8698,4.103,7.4367,6.943,5.1038,3.9549,4.2617,4.2837,4.1822,7.7667,4.9083,7.1023,4.5021,5.1848,5.2787,3.2131,3.8816,6.8121,7.4119,5.2722,6.1454,5.2639,5.7225,5.4378,7.9259,4.1469,5.1098,7.0482,5.7062,5.501,5.1637,2.5582,6.4116,8.1267,4.3708,3.8498,4.397,6.1578,7.385,5.4752,3.8481,7.8131,3.5726,5.6561,4.3886,3.4262,5.8762,5.8067,3.7241,7.172,6.1556,5.3854,7.5754,3.4607,7.8864,7.691,6.5565,7.8914,7.3343,6.4472,2.6742,5.425,6.3529,5.5193,4.7259,8.3374,5.353,3.7304,4.0309,7.9722,4.8476,3.8961,7.4104,6.0129,4.6095,3.9574,6.2326,6.9998,7.9004,7.461,7.7057,7.3208,3.0435,5.2611,6.6126,3.6723,2.8307,6.6127,4.1769,3.6425,4.4574,6.4503,4.5629,3.4341,4.8829,4.1263,4.6795,4.1255,5.9745,7.1428,5.4945,2.6756,4.6861,4.7355,6.7846,7.412,7.1756,4.007,7.1369,3.9573,3.9764,4.1079,5.6931,8.1582,4.7008,7.841,8.0702,4.2614,4.3737,4.9482,5.4593,3.4585,5.6749,5.9487,4.0641,4.6779,5.3695,3.8552,5.9016,3.6273,6.5113,4.8278,5.5321,3.6289,6.3354,4.5348,4.8987,8.2147,7.0167,3.2215,6.4574,6.179,8.2976,5.8627,4.6291,5.5695,3.8424,6.992,6.9713,3.14,4.3865,6.6221,6.7075,3.9666,5.3966,3.5396,7.1162,5.4419,6.2971,6.6707,3.7244,3.0348,6.6966,6.9606,7.869,6.4127,3.9677,7.5827,5.9982,7.9731,3.3069,8.0537,3.5626
PLT010,Sana,6.5012,3.7921,5.5555,4.669,3.8234,5.2482,4.4192,6.6332,5.0701,3.7696,4.0548,4.4629,6.8144,7.5628,7.2183,6.7522,4.6658,6.2298,6.0573,4.1885,3.2096,7.5185,7.6852,5.6056,6.4226,4.9518,6.2622,5.654,7.1075,2.779,6.3336,4.3723,7.7173,5.0147,5.4451,7.2618,6.413,3.7093,6.0489,7.674,8.2764,8.2087,4.4304,6.9911,6.86,7.5055,7.0578,3.8582,4.9656,6.6101,5.742,6.1291,5.6616,4.4911,7.1945,7.5155,6.2242,2.6453,3.6895,6.8038,4.6799,7.4912,4.8319,4.2618,3.4229,5.3062,8.1031,7.1646,7.6802,4.4756,2.8169,5.223,6.4528,5.8468,3.7595,3.5246,4.2087,6.5502,3.2186,5.9731,7.8325,4.3325,4.1438,4.9145,4.5089,3.7557,7.7807,4.3367,7.1265,4.5257,5.9873,5.9307,3.5334,4.9987,6.5158,8.0959,5.1132,5.4352,4.8137,5.3002,5.1049,7.5655,3.5632,5.2701,7.0518,4.9297,5.3962,4.9468,3.8128,5.8707,7.0136,4.6556,2.6064,4.5166,6.5486,7.1057,5.5857,4.0918,8.3846,3.6866,5.9294,3.5911,3.4544,5.1726,6.7903,3.4743,6.7375,5.9393,5.5411,6.5307,3.8031,8.0164,7.3455,7.1344,7.9493,6.6176,5.5491,3.2487,5.3821,7.3263,5.5208,5.0669,7.8584,5.8907,4.4564,4.7933,7.3737,4.1883,4.8552,7.8196,5.8689,4.6315,3.757,6.5313,6.8648,8.0819,7.278,6.6863,7.3945,3.3439,5.0611,6.0494,3.3614,2.5362,6.2057,4.5065,4.3326,4.354,6.1143,4.9529,3.6146,4.6264,4.2893,5.183,4.7755,5.4774,5.7212,4.3869,3.181,5.2889,3.9586,8.048,6.957,8.2746,4.6026,8.0649,3.6129,4.9457,2.6915,5.7443,8.1958,5.1212,6.8915,7.8528,3.694,4.4687,5.1434,5.554,3.3417,4.9072,5.5163,3.861,5.1446,5.5476,3.1066,6.3645,3.3132,6.3251,5.101,5.9642,3.5445,5.8729,3.9271,4.2482,7.6995,6.7939,3.2605,7.1509,6.282,8.0713,6.1741,4.6647,5.2002,4.0828,6.6096,6.5968,3.8922,3.4092,5.8232,6.5792,3.823,4.3006,4.5137,7.0889,5.0102,5.9433,6.7266,3.818,3.1752,5.753,7.2901,7.1739,6.6465,4.1416,7.3946,5.0787,7.2187,2.4734,7.3531,4.2031
