Temperatura_K,Presion_MPa,Permitividad
275.0,0.1,87.16
275.0,1.0,87.2
275.0,2.0,87.24
275.0,5.0,87.36
275.0,10.0,87.57
275.0,20.0,87.97
275.0,50.0,89.16
275.0,100.0,91.05
275.0,200.0,94.55
275.0,500.0,103.7
280.0,0.1,85.19
280.0,1.0,85.23
280.0,2.0,85.27
280.0,5.0,85.39
280.0,10.0,85.59
280.0,20.0,85.98
280.0,50.0,87.14
280.0,100.0,88.98
280.0,200.0,92.38
280.0,500.0,101.3
285.0,0.1,83.27
285.0,1.0,83.3
285.0,2.0,83.34
285.0,5.0,83.46
285.0,10.0,83.65
285.0,20.0,84.04
285.0,50.0,85.17
285.0,100.0,86.96
285.0,200.0,90.27
285.0,500.0,98.91
290.0,0.1,81.39
290.0,1.0,81.42
290.0,2.0,81.46
290.0,5.0,81.57
290.0,10.0,81.76
290.0,20.0,82.14
290.0,50.0,83.24
290.0,100.0,84.99
290.0,200.0,88.22
290.0,500.0,96.64
295.0,0.1,79.55
295.0,1.0,79.58
295.0,2.0,79.62
295.0,5.0,79.73
295.0,10.0,79.92
295.0,20.0,80.29
295.0,50.0,81.37
295.0,100.0,83.08
295.0,200.0,86.24
295.0,500.0,94.44
300.0,0.1,77.75
300.0,1.0,77.78
300.0,2.0,77.82
300.0,5.0,77.93
300.0,10.0,78.11
300.0,20.0,78.48
300.0,50.0,79.54
300.0,100.0,81.22
300.0,200.0,84.31
300.0,500.0,92.31
305.0,0.1,75.99
305.0,1.0,76.02
305.0,2.0,76.06
305.0,5.0,76.17
305.0,10.0,76.35
305.0,20.0,76.71
305.0,50.0,77.75
305.0,100.0,79.4
305.0,200.0,82.43
305.0,500.0,90.25
305.0,1000.0,101.3
310.0,0.1,74.27
310.0,1.0,74.3
310.0,2.0,74.33
310.0,5.0,74.44
310.0,10.0,74.62
310.0,20.0,74.98
310.0,50.0,76.01
310.0,100.0,77.63
310.0,200.0,80.61
310.0,500.0,88.26
310.0,1000.0,99.06
315.0,0.1,72.58
315.0,1.0,72.61
315.0,2.0,72.65
315.0,5.0,72.76
315.0,10.0,72.93
315.0,20.0,73.28
315.0,50.0,74.3
315.0,100.0,75.9
315.0,200.0,78.84
315.0,500.0,86.34
315.0,1000.0,96.87
320.0,0.1,70.93
320.0,1.0,70.97
320.0,2.0,71.0
320.0,5.0,71.11
320.0,10.0,71.28
320.0,20.0,71.63
320.0,50.0,72.64
320.0,100.0,74.22
320.0,200.0,77.11
320.0,500.0,84.48
320.0,1000.0,94.76
340.0,0.1,64.7
340.0,1.0,64.73
340.0,2.0,64.77
340.0,5.0,64.87
340.0,10.0,65.04
340.0,20.0,65.38
340.0,50.0,66.36
340.0,100.0,67.89
340.0,200.0,70.65
340.0,500.0,77.58
340.0,1000.0,87.07
360.0,0.1,59.0
360.0,1.0,59.03
360.0,2.0,59.07
360.0,5.0,59.17
360.0,10.0,59.34
360.0,20.0,59.68
360.0,50.0,60.65
360.0,100.0,62.15
360.0,200.0,64.83
360.0,500.0,71.45
360.0,1000.0,80.36
380.0,0.1,1.006
380.0,1.0,53.83
380.0,2.0,53.86
380.0,5.0,53.97
380.0,10.0,54.14
380.0,20.0,54.48
380.0,50.0,55.45
380.0,100.0,56.94
380.0,200.0,59.57
380.0,500.0,65.95
380.0,1000.0,74.43
400.0,0.1,1.005
400.0,1.0,49.06
400.0,2.0,49.1
400.0,5.0,49.21
400.0,10.0,49.39
400.0,20.0,49.73
400.0,50.0,50.71
400.0,100.0,52.2
400.0,200.0,54.8
400.0,500.0,61.0
400.0,1000.0,69.12
420.0,0.1,1.005
420.0,1.0,44.7
420.0,2.0,44.74
420.0,5.0,44.85
420.0,10.0,45.04
420.0,20.0,45.39
420.0,50.0,46.39
420.0,100.0,47.9
420.0,200.0,50.48
